num_steps,num_updates,epsilon,loss,success_rate,violation_rate,mean_return,mean_steps,curriculum_stage,sps
2980000,742501,0.050000000000000044,0.0024368218146264553,0.92,0.062,0.858,10.678,2,88.17106351684112
2990000,745001,0.050000000000000044,0.0024479571729898453,0.928,0.062,0.866,9.966,2,88.17069192304405
3000000,747501,0.050000000000000044,0.008778336457908154,0.888,0.08,0.808,11.462,2,88.16519200299666
3010000,750001,0.050000000000000044,0.0017879465594887733,0.93,0.056,0.874,10.15,2,88.16096530252769
3020000,752501,0.050000000000000044,0.003136692102998495,0.92,0.058,0.862,10.792,2,88.1678141183092
3030000,755001,0.050000000000000044,0.005025198683142662,0.906,0.078,0.828,10.16,2,88.16459275406032
3040000,757501,0.050000000000000044,0.01113602239638567,0.902,0.074,0.828,10.528,2,88.1648994219344
3050000,760001,0.050000000000000044,0.011214939877390862,0.906,0.072,0.834,10.686,2,88.16259363499299
3060000,762501,0.050000000000000044,0.0014656370040029287,0.926,0.054,0.872,10.66,2,88.15938664531328
3070000,765001,0.050000000000000044,0.0030295844189822674,0.908,0.07,0.838,10.854,2,88.1623291003439
3080000,767501,0.050000000000000044,0.0022504343651235104,0.896,0.08,0.816,10.97,2,88.15791941867552
3090000,770001,0.050000000000000044,0.0031183927785605192,0.944,0.046,0.898,10.77,2,88.15933251641052
3100000,772501,0.050000000000000044,0.01321567315608263,0.914,0.056,0.858,10.898,2,88.16068534988173
3110000,775001,0.050000000000000044,0.002816596534103155,0.906,0.074,0.832,9.882,2,88.15868614903215
3120000,777501,0.050000000000000044,0.0020715822465717793,0.92,0.064,0.856,10.108,2,88.16105192224677
3130000,780001,0.050000000000000044,0.003094152081757784,0.926,0.066,0.86,9.61,2,88.16646296990716
3140000,782501,0.050000000000000044,0.002132680034264922,0.894,0.076,0.818,11.374,2,88.16235992399159
3150000,785001,0.050000000000000044,0.0020353789441287518,0.896,0.086,0.81,10.944,2,88.16440090768181
3160000,787501,0.050000000000000044,0.0057905674912035465,0.918,0.062,0.856,10.814,2,88.16143860761004
3170000,790001,0.050000000000000044,0.01154281385242939,0.906,0.072,0.834,10.392,2,88.15930011787754
3180000,792501,0.050000000000000044,0.0019488006364554167,0.93,0.056,0.874,10.012,2,88.1639487538525
3190000,795001,0.050000000000000044,0.004524988122284412,0.912,0.064,0.848,10.62,2,88.16776477568662
3200000,797501,0.050000000000000044,0.0024202268105000257,0.914,0.07,0.844,10.152,2,88.16792671863755
3210000,800001,0.050000000000000044,0.011239167302846909,0.928,0.048,0.88,10.97,2,88.16962242785758
3220000,802501,0.050000000000000044,0.0017410474829375744,0.93,0.052,0.878,10.7,2,88.16583694865432
3230000,805001,0.050000000000000044,0.011167994700372219,0.9,0.08,0.82,11.016,2,88.15930526517377
3240000,807501,0.050000000000000044,0.0019333732780069113,0.918,0.064,0.854,11.09,2,88.1570331309157
3250000,810001,0.050000000000000044,0.0019003727938979864,0.9,0.074,0.826,10.79,2,88.16031478463835
3260000,812501,0.050000000000000044,0.005464596673846245,0.898,0.078,0.82,9.966,2,88.1569145352402
3270000,815001,0.050000000000000044,0.003192715346813202,0.898,0.084,0.814,9.938,2,88.16208190387438
3280000,817501,0.050000000000000044,0.003004776081070304,0.91,0.068,0.842,10.862,2,88.15391458115435
3290000,820001,0.050000000000000044,0.0018253205344080925,0.928,0.056,0.872,10.42,2,88.13021894465366
3300000,822501,0.050000000000000044,0.0018575482536107302,0.92,0.06,0.86,11.188,2,88.12756870498852
3310000,825001,0.050000000000000044,0.0021493141539394855,0.908,0.072,0.836,10.83,2,88.13353422079204
3320000,827501,0.050000000000000044,0.021100563928484917,0.924,0.05,0.874,10.698,2,88.13599593749375
3330000,830001,0.050000000000000044,0.0022272225469350815,0.926,0.056,0.87,10.236,2,88.13320311917167
3340000,832501,0.050000000000000044,0.002346944296732545,0.928,0.052,0.876,10.456,2,88.13115290020176
3350000,835001,0.050000000000000044,0.002672633621841669,0.916,0.07,0.846,10.24,2,88.12354140238405
3360000,837501,0.050000000000000044,0.0018428780604153872,0.916,0.06,0.856,11.694,2,88.12941332569012
3370000,840001,0.050000000000000044,0.001980963395908475,0.914,0.064,0.85,10.348,2,88.12247216341804
3380000,842501,0.050000000000000044,0.004226460587233305,0.922,0.044,0.878,11.344,2,88.11910946169083
3390000,845001,0.050000000000000044,0.0022144345566630363,0.914,0.066,0.848,10.996,2,88.11444237370422
3400000,847501,0.050000000000000044,0.0023646336048841476,0.936,0.05,0.886,10.332,2,88.1206105394476
3410000,850001,0.050000000000000044,0.003038548631593585,0.924,0.06,0.864,10.976,2,88.11346114129867
3420000,852501,0.050000000000000044,0.0026237121783196926,0.918,0.066,0.852,9.716,2,88.116656169291
